Rank,Previous Rank,First Appearance,First Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax,Rpeak,Efficiency (%),Nmax,Nhalf,Power,Mflops/Watt,Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Region,Continent
398,251.0,39,251,,"Cluster Platform 4000 BL685c G7, Opteron 6140 8C 2.60GHz, Gigabit Ethernet",Logistic Services,Hewlett-Packard,China,2012,Industry,16288,0,86463.4,169395.0,51.04,0,0,,,Cluster,Opteron 6140 8C 2.600GHz,AMD x86_64,2600,Linux,Linux,None,8,"Opteron 6100-series ""Magny-Cours"" ",Cluster Platform 4000 BL685c G7,HP Cluster Platform 4000BL,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
399,252.0,39,252,rzuseq,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom",DOE/NNSA/LLNL,IBM,United States,2012,Research,8192,0,86346.0,104858.0,82.35,434175,0,41.09,2101.39,MPP,Power BQC 16C 1.600GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,North America,Americas
400,253.0,39,253,,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom",IBM Thomas J. Watson Research Center,IBM,United States,2012,Research,8192,0,86346.0,104858.0,82.35,434175,0,41.09,2101.39,MPP,Power BQC 16C 1.600GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,North America,Americas
403,254.0,39,254,,"Cluster Platform 3000 BL460c G7, Xeon X5675 6C 3.06GHz, Gigabit Ethernet",Web Company (C),Hewlett-Packard,China,2012,Industry,13914,0,86189.3,170307.0,50.61,0,0,,,Cluster,Xeon X5675 6C 3.060GHz,Intel Nehalem,3060,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),Cluster Platform 3000 BL460c G7,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
404,255.0,38,153,,"Cluster Platform 3000 BL460c G7, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet",Financial Institution,Hewlett-Packard,United States,2011,Industry,15816,0,86054.0,168282.24,51.14,0,0,,,Cluster,Xeon X5650 6C 2.660GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),Cluster Platform 3000 BL460c G7,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
406,262.0,38,156,,"iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090",Geoscience (P),IBM,United States,2011,Industry,6776,4928,85843.0,224483.0,38.24,0,0,99.14,865.88,Cluster,Xeon X5650 6C 2.660GHz,Intel Nehalem,2660,Linux,Linux,NVIDIA 2090,6,Xeon 5600-series (Westmere-EP),iDataPlex DX360M3,IBM iDataPlex,Infiniband,Infiniband,North America,Americas
407,263.0,38,157,,"iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090",Geoscience (P),IBM,United States,2011,Industry,6776,4928,85843.0,224483.0,38.24,0,0,99.14,865.88,Cluster,Xeon X5650 6C 2.660GHz,Intel Nehalem,2660,Linux,Linux,NVIDIA 2090,6,Xeon 5600-series (Westmere-EP),iDataPlex DX360M3,IBM iDataPlex,Infiniband,Infiniband,North America,Americas
408,264.0,38,158,,"iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090",Geoscience (P),IBM,United States,2011,Industry,6776,4928,85843.0,224483.0,38.24,0,0,99.14,865.88,Cluster,Xeon X5650 6C 2.660GHz,Intel Nehalem,2660,Linux,Linux,NVIDIA 2090,6,Xeon 5600-series (Westmere-EP),iDataPlex DX360M3,IBM iDataPlex,Infiniband,Infiniband,North America,Americas
409,265.0,38,159,,"iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090",Geoscience (P),IBM,United States,2011,Industry,6776,4928,85843.0,224483.0,38.24,0,0,99.14,865.88,Cluster,Xeon X5650 6C 2.660GHz,Intel Nehalem,2660,Linux,Linux,NVIDIA 2090,6,Xeon 5600-series (Westmere-EP),iDataPlex DX360M3,IBM iDataPlex,Infiniband,Infiniband,North America,Americas
410,266.0,38,160,,"iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090",Geoscience (P),IBM,United States,2011,Industry,6776,4928,85843.0,224483.0,38.24,0,0,99.14,865.88,Cluster,Xeon X5650 6C 2.660GHz,Intel Nehalem,2660,Linux,Linux,NVIDIA 2090,6,Xeon 5600-series (Westmere-EP),iDataPlex DX360M3,IBM iDataPlex,Infiniband,Infiniband,North America,Americas
