Rank,Site,Manufacturer,Computer,Country,Year,Processors,RMax,RPeak,Nmax,Nhalf,Processor Family,Processor,Proc. Frequency,System Family,Operating System,Architecture,Segment,Application Area,Interconnect Family,Interconnect,Region,Continent
395,Kyoto University,Fujitsu,VP2600/10E,Japan,1995,1,4.0,5.0,0,0,Fujitsu,Fujitsu,312.5,Fujitsu VP,Unix,Single Processor,Academic,Not Specified,,,Eastern Asia,Asia
396,Kyushu University,Fujitsu,VP2600/10,Japan,1992,1,4.0,5.0,0,0,Fujitsu,Fujitsu,312.5,Fujitsu VP,Unix,Single Processor,Academic,Not Specified,,,Eastern Asia,Asia
397,Nagoya University,Fujitsu,VP2600/10,Japan,1991,1,4.0,5.0,0,0,Fujitsu,Fujitsu,312.5,Fujitsu VP,Unix,Single Processor,Academic,Not Specified,,,Eastern Asia,Asia
402,Universitaet Aachen/RWTH,Fujitsu,S600/20,Germany,1991,1,4.0,5.0,0,0,Fujitsu,Fujitsu,312.5,Fujitsu VP,Unix,Single Processor,Academic,Not Specified,,,Western Europe,Europe
403,Universitaet Karlsruhe,Fujitsu,S600/20,Germany,1990,1,4.0,5.0,0,0,Fujitsu,Fujitsu,312.5,Fujitsu VP,Unix,Single Processor,Academic,Not Specified,,,Western Europe,Europe
406,Cyfronet,Hewlett-Packard,SPP1200/XA-32,Poland,1996,32,3.962,7.68,27700,4500,PA-RISC,PA-RISC PA-7200,120.0,HP Superdome,SPP-UX,MPP,Academic,Not Specified,Proprietary,Ring,Eastern Europe,Europe
408,Kansas State University,Hewlett-Packard,SPP1200/XA-32,United States,1996,32,3.962,7.68,27700,4500,PA-RISC,PA-RISC PA-7200,120.0,HP Superdome,SPP-UX,MPP,Academic,Not Specified,Proprietary,Ring,North America,Americas
409,University of Kentucky,Hewlett-Packard,SPP1200/XA-32,United States,1995,32,3.962,7.68,27700,4500,PA-RISC,PA-RISC PA-7200,120.0,HP Superdome,SPP-UX,MPP,Academic,Not Specified,Proprietary,Ring,North America,Americas
410,Cornell Theory Center,SGI,POWER CHALLENGEarray,United States,1995,16,3.924,5.76,15000,2200,MIPS,MIPS R8000,90.0,SGI PowerChallenge,IRIX,Constellations,Academic,Not Specified,,,North America,Americas
411,University of Minnesota/Supercomputing Institute,SGI,POWER CHALLENGEarray,United States,1995,16,3.924,5.76,15000,2200,MIPS,MIPS R8000,90.0,SGI PowerChallenge,IRIX,Constellations,Academic,Not Specified,,,North America,Americas
412,University of Utah,SGI,POWER CHALLENGEarray,United States,1996,16,3.924,5.76,15000,2200,MIPS,MIPS R8000,90.0,SGI PowerChallenge,IRIX,Constellations,Academic,Not Specified,,,North America,Americas
422,Technische Universitaet Magdeburg,Parsytec,GC PowerPlus/96,Germany,1995,96,3.865,7.68,19000,6500,Power,PowerPC 601,80.0,Parytec,PARIX,MPP,Academic,Not Specified,,,Western Europe,Europe
425,Japan Adv. Inst. of Science and Technology (JAIST),Thinking Machines Corporation,CM-5/64,Japan,1993,64,3.8,8.192,13056,6016,Sparc,SuperSPARC I,32.0,TMC CM5,CMOST,MPP,Academic,Not Specified,Fat Tree,"Hypercube, tree",Eastern Asia,Asia
426,Oregon State University,Thinking Machines Corporation,CM-5/64,United States,1994,64,3.8,8.192,13056,6016,Sparc,SuperSPARC I,32.0,TMC CM5,CMOST,MPP,Academic,Not Specified,Fat Tree,"Hypercube, tree",North America,Americas
428,University of Wisconsin,Thinking Machines Corporation,CM-5/64,United States,1993,64,3.8,8.192,13056,6016,Sparc,SuperSPARC I,32.0,TMC CM5,CMOST,MPP,Academic,Not Specified,Fat Tree,"Hypercube, tree",North America,Americas
430,Australian National University,SGI,POWER CHALLENGE,Australia,1996,14,3.767,5.04,2000,470,MIPS,MIPS R8000,90.0,SGI PowerChallenge,IRIX,SMP,Academic,Not Specified,,,Australia and New Zealand,Oceania
432,New South Wales Center for Par. Comp.,SGI,POWER CHALLENGE,Australia,1995,14,3.767,5.04,2000,470,MIPS,MIPS R8000,90.0,SGI PowerChallenge,IRIX,SMP,Academic,Not Specified,,,Australia and New Zealand,Oceania
434,South Australian Center for Par. Comp.,SGI,POWER CHALLENGE,Australia,1996,14,3.767,5.04,2000,470,MIPS,MIPS R8000,90.0,SGI PowerChallenge,IRIX,SMP,Academic,Not Specified,,,Australia and New Zealand,Oceania
435,University of Uppsala,Hewlett-Packard,AlphaServer Cluster 300,Sweden,1996,12,3.75,7.2,0,0,Alpha,Alpha EV5,300.3,HP AlphaServer 8400,Digital Unix,Constellations,Academic,Not Specified,Fast Ethernet,Fast Ethernet,Northern Europe,Europe
441,Universitaet Karlsruhe,IBM,SP2 77 MHz wide,Germany,1996,16,3.7,4.93,13500,2200,Power,POWER2,77.0,IBM SP,AIX,MPP,Academic,Not Specified,,,Western Europe,Europe
444,Cornell Theory Center,SGI,POWER CHALLENGE,United States,1995,16,3.7,4.8,2500,540,MIPS,MIPS R8000,75.0,SGI PowerChallenge,IRIX,SMP,Academic,Not Specified,,,North America,Americas
